"timestamp","speed","accuracy","acceleration_magnitude","DFT_E1","DFT_E2","DFT_E3","mode"
1387872248,0,24,9.56469965143,91.4834794221,149.039091884,150.504640032,"bus"
1388060999,0,24,10.4320948842,108.828603673,118.951688143,110.911264693,"bus"
1387872411,1.3415616,16,11.2099979999,125.664055158,125.664055158,84.064135757,"bus"
1388057785,0.8738028,12,13.146192045,172.822365284,172.822365284,160.732450589,"walking"
1387875553,0,32,11.9080243222,141.801043258,142.283017286,142.882817793,"stationary"
1387875396,0,32,11.9713702289,143.313705157,143.313705157,143.793998896,"stationary"
1388061003,0,24,9.16033081225,83.9116605899,140.684708911,135.935579111,"bus"
1387871521,0,8,11.9130332802,141.920361935,152.725865295,150.410495788,"bus"
1388057862,0,8,14.77469194,218.291521922,229.020852968,226.691856652,"walking"
1387974378,0,32,11.8674986181,140.837523451,141.884461959,141.999116814,"stationary"
1387969346,0,6,9.60813320265,92.3162236399,92.3162236399,177.820919514,"walking"
1387869868,0.8169887,6,11.6624137705,136.011894954,154.939374326,158.137919517,"walking"
1387974817,0,150,11.9213249024,142.117987429,141.070036083,141.477911016,"stationary"
1387875130,0,32,11.9642325035,143.142859398,143.142859398,143.659129404,"stationary"
1387870510,5.253451,12,11.6189539978,135.000092003,140.081378661,131.475328477,"auto"
1387869933,0.91688466,8,11.1399236135,124.097898115,122.489545481,121.372015241,"walking"
1388060800,2.3307722,12,10.4303422489,108.792039429,108.792039429,104.960525539,"bus"
1387869993,0.83818847,6,11.6809757208,136.44519379,136.44519379,166.641160059,"walking"
1387875385,0,32,11.9265926728,142.243612783,143.828501905,143.269765437,"stationary"
1388059434,0,971,11.8139974315,139.570535311,143.163929584,140.263343769,"auto"
1387974532,0,32,11.9698906306,143.278281709,143.278281709,143.833778497,"stationary"
1387871571,0,12,12.2318800463,149.618889467,172.819569035,172.819569035,"bus"
1387870315,1.257026,6,11.8743155605,140.99937003,140.99937003,170.402804412,"walking"
1388059176,8.497194,8,13.2627819489,175.901385024,160.342935371,141.977736324,"auto"
1387875683,0,32,11.9821260234,143.571344041,143.571344041,142.903963847,"stationary"
1387870039,0.9629933,12,13.9572360139,194.804437148,210.186396576,206.102515265,"walking"
1387970969,7.003927,12,8.88689669633,78.9769328912,103.168945039,98.7354172279,"auto"
1388057780,0.8521373,8,11.5791128398,134.075854157,157.155969102,182.302113293,"walking"
1387969624,1.0421793,6,9.39167660566,88.2035894653,98.8835324259,105.301655396,"walking"
1388058847,6.4271455,12,12.2113334261,149.116664043,128.449091724,136.699454052,"auto"
1388061088,0,24,10.8843410904,118.468880972,122.43404125,115.570098694,"bus"
1387972779,0,16,14.7360036147,217.149802532,164.771772142,132.168249165,"bus"
1387869522,0,905,12.5691860936,157.984439056,146.690473229,127.597477346,"walking"
1388058118,0,12,13.9534218119,194.697980261,197.871530381,199.232364246,"walking"
1388058060,0.8404945,16,12.1695775854,148.098618607,159.507463016,163.779012358,"walking"
1387871665,0,24,11.4886154731,131.988285489,137.900645176,140.575043015,"bus"
1387874851,0,858,12.0858450697,146.067651049,146.062423665,146.127432461,"stationary"
1388060612,2.3307722,12,10.6170957543,112.722722256,111.526360425,104.240658685,"bus"
1387969628,1.0660008,6,9.55617904024,91.3205578491,114.697232493,112.136204374,"walking"
1387974184,0,150,11.9911660603,143.788063486,142.403170069,144.686891923,"stationary"
1388060546,2.3307722,12,9.74607356246,94.9859498849,93.0124469821,90.4942221378,"bus"
1387875105,0,32,12.0294732165,144.708225866,145.232279118,144.793794787,"stationary"
1387974304,0.689752,96,11.9245847709,142.195721958,142.628398126,142.058535596,"stationary"
1387869583,1.1908313,6,7.29168334712,53.1686460347,284.603274058,292.147150095,"walking"
1387875552,0,32,11.9448485931,142.679407912,142.503390672,143.090743275,"stationary"
1387875430,0,48,11.9854258232,143.650432163,143.058849275,143.130808886,"stationary"
1387875704,0,32,11.9510553414,142.827723773,143.073344084,143.279150046,"stationary"
1387974448,0,32,12.0275558842,144.662100548,144.989408665,144.449382052,"stationary"
1387969288,1.4711752,16,5.6999124456,32.4890018875,33.8919409749,29.8600981729,"walking"
1387871084,8.384764,8,11.6101798653,134.796276505,134.796276505,112.424708205,"auto"
1387871201,5.421204,24,14.6475236858,214.549950126,214.549950126,121.018962968,"auto"
1387875618,0,150,11.9615106828,143.077737815,143.077737815,142.965261131,"stationary"
1387970080,0,12,11.8382732004,140.144712367,142.453007527,140.523182651,"walking"
1387974178,0,150,11.9450308385,142.683761733,142.169737839,143.8120937,"stationary"
1388060373,0,32,11.8663876636,140.811156183,149.957693633,149.056049963,"bus"
1387874984,0,32,12.0409459533,144.98437945,144.98437945,144.27630131,"stationary"
1388057892,0.95526165,12,11.786947331,138.932127384,140.976561141,149.645282346,"walking"
1387874848,0,858,12.080955151,145.94947736,145.866842087,143.819565165,"stationary"
1387874847,0,858,12.079494317,145.914182954,146.011714403,146.011714403,"stationary"
1388057315,0,8,12.7953390691,163.720701893,170.117300929,188.010945867,"walking"
1387973995,0,150,12.0066598094,144.159879779,144.159879779,143.775881705,"stationary"
1387969334,1.0443921,6,14.0446665956,197.252659782,186.186132031,184.901861077,"walking"
1387874903,0,12,11.8996704677,141.60215724,146.181409877,147.325849159,"stationary"
1388058903,2.320405,12,10.310258766,106.301435822,264.089798437,244.863284699,"auto"
1388059034,3.9179883,12,11.0724415967,122.598962912,153.219464731,214.565353399,"auto"
1387870850,3.2424483,16,12.0641614696,145.543991965,145.543991965,145.543991965,"auto"
1387970847,3.6625671,8,14.3870508825,206.987233096,206.987233096,288.177122209,"auto"
1387875373,0,24,11.9811749178,143.548552411,143.404000222,143.029420167,"stationary"
1387969432,1.1050621,12,12.1011292024,146.437327973,155.803678838,159.837944529,"walking"
1387971366,7.7250023,12,10.5727577597,111.783206645,116.212550594,104.969429983,"auto"
1387874914,0,24,12.0649760988,145.563648265,146.084178457,146.084178457,"stationary"
1387874934,0,16,11.9557958347,142.941054041,142.941054041,143.481975711,"stationary"
1388060709,2.3307722,12,10.4222750251,108.623816699,111.310252267,111.595423337,"bus"
1387869685,0,24,24.4665423479,598.611694462,598.611694462,172.19432938,"walking"
1387971072,2.7986867,8,10.3430962033,106.979639071,102.627824086,97.0907103405,"auto"
1387871563,0,16,12.6186927429,159.23140654,156.115675814,148.286388001,"bus"
1387870021,0,858,11.0476765324,122.051156765,130.91496716,132.718338933,"walking"
1388057392,0.8925872,12,11.0233838133,121.514990695,126.706581659,128.26829674,"walking"
1387972237,6.277483,32,11.1091962011,123.414240235,110.561166634,103.907819848,"bus"
1387974169,0,150,11.9113369005,141.879946757,141.941232014,143.025119968,"stationary"
1387875085,0,32,12.0012473314,144.029937509,144.029937509,144.056749882,"stationary"
1388059131,0,6,10.5685251233,111.693723282,161.121240501,155.223548631,"auto"
1388057858,0,12,9.81874972015,96.4078460669,129.292509244,131.944660728,"walking"
1388057864,0,1040,10.5012782932,110.276845791,110.276845791,212.431000277,"walking"
1388060424,0,983,12.652114441,160.075999828,163.251408315,170.474082489,"bus"
1387869485,0,16,12.0369934127,144.889210417,154.717868621,157.276679743,"walking"
1387974234,0,150,11.9500604785,142.80394544,157.681572122,136.892789011,"stationary"
1387973971,0,150,12.0110213928,144.264634898,144.361154004,144.424501453,"stationary"
1387971176,0,6,11.6228442811,135.090509183,137.130150621,130.283511211,"auto"
1387871787,0,24,11.9619298613,143.087766007,146.129059671,145.92359345,"bus"
1387970846,0,16,10.6671128702,113.787296986,113.766172577,115.206003313,"auto"
1387972616,0,16,11.0104145246,121.229228004,117.773643096,116.749786937,"bus"
